;MIN;MAX;MEDIA
500;0.000476        ;0.000561        ;0.000491
1000;0.001843        ;0.002023        ;0.001871
5000;0.054896        ;0.057357        ;0.055505
10000;0.245960        ;0.251869        ;0.247916
20000;1.050554        ;1.070839        ;1.056383
35000;3.341967        ;3.432793        ;3.359662
50000;6.956967        ;7.432588        ;7.019640
