;1;2;3
500;0.000345        ;0.000340        ;0.000358
1000;0.001543        ;0.001418        ;0.001341
5000;0.035053        ;0.034820        ;0.034524
10000;0.138516        ;0.139291        ;0.138300
20000;0.550772        ;0.543745        ;0.555946
35000;1.668983        ;1.698160        ;1.650514
50000;3.347695        ;3.346802        ;3.348136
