;MIN;MAX;MEDIA
500;0.000055        ;0.000074        ;0.000057
1000;0.000141        ;0.000172        ;0.000145
5000;0.000953        ;0.001106        ;0.000975
10000;0.002061        ;0.002252        ;0.002083
20000;0.004459        ;0.004630        ;0.004485
35000;0.008298        ;0.008723        ;0.008340
50000;0.012309        ;0.013162        ;0.012359
