;MIN;MAX;MEDIA
500;0.000184        ;0.000240        ;0.000196
1000;0.000697        ;0.000771        ;0.000723
5000;0.016548        ;0.018818        ;0.016859
10000;0.064522        ;0.070917        ;0.066411
20000;0.256909        ;0.277360        ;0.261627
35000;0.792200        ;0.825394        ;0.800075
50000;1.619825        ;1.659222        ;1.633171
