;1;2;3
500;0.005243        ;0.005184        ;0.005423
1000;0.020879        ;0.020793        ;0.020836
5000;0.521667        ;0.522020        ;0.521686
10000;2.106584        ;2.103506        ;2.103697
20000;8.495359        ;8.491662        ;8.497346
35000;26.063592       ;26.062685       ;26.066370
50000;53.186575       ;53.183952       ;53.187672
