;MIN;MAX;MEDIA
500;0.002513        ;0.002921        ;0.002634
1000;0.010436        ;0.013401        ;0.010575
5000;0.255952        ;0.266815        ;0.260862
10000;1.033676        ;1.070956        ;1.048553
20000;4.172094        ;4.270283        ;4.220421
35000;12.865784       ;13.090046       ;12.969309
50000;26.327436       ;26.662334       ;26.499820
