;1;2;3
500;0.000028        ;0.000027        ;0.000028
1000;0.000054        ;0.000054        ;0.000055
5000;0.000269        ;0.000269        ;0.000287
10000;0.000547        ;0.000567        ;0.000645
20000;0.001093        ;0.001090        ;0.001114
35000;0.001907        ;0.002096        ;0.001928
50000;0.002887        ;0.002821        ;0.002720
