;1;2;3
500;0.001285       ;0.001282       ;0.001281
1000;0.003980       ;0.002981       ;0.002045
5000;0.051211       ;0.051212       ;0.051265
10000;0.205583       ;0.206893       ;0.213350
20000;0.831240       ;0.828513       ;0.833221
35000;2.586000       ;2.571651       ;2.619144
50000;5.242715       ;5.219584       ;5.296939
