;1;2;3
500;0.000308        ;0.000307        ;0.000312
1000;0.001187        ;0.001224        ;0.001218
5000;0.030143        ;0.029910        ;0.029185
10000;0.122232        ;0.116602        ;0.117620
20000;0.467930        ;0.470065        ;0.468505
35000;1.432250        ;1.431913        ;1.431626
50000;2.926263        ;2.925066        ;2.924397
