500;1000;5000;10000;20000;35000;50000
MAX;0,000607;0,002709;0,018456;0,023947;0,050436;0,108495;0,186727
MEDIA;0,000511;0,001141;0,009072;0,018542;0,038194;0,082891;0,157344
MIN;0,000475;0,001052;0,006694;0,015451;0,037006;0,07844;0,133231
