500;1000;5000;10000;20000;35000;50000
MAX;0,001019;0,003331;0,018381;0,03311;0,097836;0,172151;0,22146
MEDIA;0,000825;0,001894;0,013863;0,027671;0,058596;0,114716;0,210807
MIN;0,000795;0,001789;0,011509;0,025702;0,057427;0,111139;0,168274
