500;1000;5000;10000;20000;35000;50000 
MAX;0,010465;0,024052;0,465041;1,904898;8,043273;24,301871;52,754265
MEDIA;0,004877;0,020353;0,45018;1,874295;7,842624;24,076289;52,248739
MIN;0,004121;0,018658;0,440234;1,826523;7,757833;23,840916;51,757841
