;MIN;MAX;MEDIA
500;0.006941        ;0.007528        ;0.007156
1000;0.028292        ;0.031946        ;0.028745
5000;0.711904        ;0.723658        ;0.718178
10000;2.872985        ;2.907403        ;2.889989
20000;11.565105       ;11.666984       ;11.617705
35000;35.501774       ;35.753517       ;35.640101
50000;72.519151       ;72.954451       ;72.735791
