;MIN;MAX;MEDIA
500;0.000550        ;0.000717        ;0.000569
1000;0.001234        ;0.001552        ;0.001272
5000;0.007751        ;0.008208        ;0.008016
10000;0.017520        ;0.018279        ;0.017815
20000;0.041601        ;0.044887        ;0.041886
35000;0.082989        ;0.086257        ;0.083366
50000;0.128324        ;0.132073        ;0.128863
