;1;2;3
500;0.009568        ;0.009435        ;0.009426
1000;0.037538        ;0.037527        ;0.037558
5000;0.941483        ;0.941489        ;0.941429
10000;3.787700        ;3.787728        ;3.784664
20000;15.248621       ;15.249807       ;15.249109
35000;46.747640       ;46.747215       ;46.744558
50000;95.393521       ;95.389815       ;95.389578
