;1;2;3
500;0.004608        ;0.004837        ;0.004667
1000;0.018900        ;0.018831        ;0.018877
5000;0.470632        ;0.470430        ;0.470478
10000;1.896531        ;1.893295        ;1.893387
20000;7.639210        ;7.641967        ;7.639312
35000;23.459768       ;23.460380       ;23.460390
50000;47.941646       ;47.890450       ;47.888541
