;MIN;MAX;MEDIA
500;0.000262        ;0.000398        ;0.000273
1000;0.000579        ;0.000789        ;0.000610
5000;0.003690        ;0.004099        ;0.003813
10000;0.007831        ;0.011071        ;0.008423
20000;0.016829        ;0.017544        ;0.017266
35000;0.031563        ;0.034804        ;0.032285
50000;0.046768        ;0.051163        ;0.048096
